Country,EnergyConsumptionPerCapita(Watts)
Afghanistan[4],
Albania,1065.9
Algeria,1658.9
Angola,871.9
Argentina,2522.5
Armenia,1290.5
Australia,7437.7
Austria,5216.2
Azerbaijan,1962.5
Bahrain,13542.6
Bangladesh,286.9
Belarus,3836.4
Belgium,6708.9
Benin,523.8
Bolivia,1045.8
Bosnia and Herzegovina,2247.4
Botswana,1462.4
Brazil,1914.3
Brunei Darussalam,9842.9
Bulgaria,3098.7
Cambodia,527.5
Cameroon,440.3
Canada,9589.0
Chile,2930.6
China,2964.1
Colombia,890.0
"Congo, Dem. Rep.",389.1
"Congo, Rep.",740.0
Costa Rica,1370.0
Cote d'Ivoire,805.9
Croatia,2415.1
Cuba,1372.5
Cyprus,2251.5
Czech Republic,5312.2
Denmark,4136.9
Dominican Republic,973.7
Ecuador,1304.4
Egypt,1178.3
El Salvador,923.3
Eritrea,
Estonia,6155.4
Ethiopia,675.0
Finland,8087.9
France,5112.4
Gabon,1910.4
Georgia,1374.2
Germany,5149.4
Ghana,457.5
Greece,2841.3
Guatemala,1022
Haiti,523.5
Honduras,882
Hong Kong,2580.7
Hungary,3036.1
Iceland,24201.2
India,806.9
Indonesia,1132
"Iran, Islamic Rep.",3941.5
Iraq,1952.6
Ireland,3781.4
Israel,3955.3
Italy,3434.3
Jamaica,1442.7
Japan,4753.7
Jordan,1426
Kazakhstan,6373
Kenya,654.7
North Korea,773
South Korea,6994.5
Kosovo[5],1726.4
Kuwait,12991.1
Kyrgyzstan,919.2
Latvia,2874.8
Lebanon,1780.3
Libya,3609.8
Lithuania,3137.6
Luxembourg,9732.9
Macedonia,1796.7
Malaysia,4020.6
Malta,4020.6
Mexico,2058
Moldova,1148.5
Mongolia,2431.7
Montenegro,2198.5
Morocco,751.4
Mozambique,542.4
Myanmar,416.4
Namibia,988.4
Nepal,492.2
Netherlands,6131.7
New Zealand,5846.9
Nicaragua,790.4
Nigeria,1029.2
Norway,8572.6
Oman,8297.9
Pakistan,632.2
Panama,1407.9
Paraguay,1017.4
Peru,943.1
Philippines,608.6
Poland,3415.6
Portugal,2773.1
Qatar,25456.8
Romania,2119.8
Russia,6780.9
Saudi Arabia,8472.2
Senegal,347.5
Serbia,2767.3
Singapore,6435.2
Slovakia,4231.6
Slovenia,4424.6
South Africa,3536
Spain,3333.6
Sri Lanka,649.1
Sudan,499
Sweden,6832.1
Switzerland,4399
Syrian Arab Republic,889.6
Tajikistan,403.1
Tanzania,625.4
Thailand,2646.3
Togo,615.9
Trinidad and Tobago,19355.3
Tunisia,1273.5
Turkey,2034.6
Turkmenistan,6672.5
Ukraine,3399.3
United Arab Emirates,10239.8
United Kingdom,3964.5
United States,9207.8
Uruguay,1798.1
Uzbekistan,1889.9
Venezuela,3023.9
Vietnam,888.9
Yemen,431
Zambia,840.7
Zimbabwe,1008.6
